,GameId,HomeTeamAbbr,VisitorTeamAbbr,Week
0,2018090600,PHI,ATL,1
1,2018090900,BAL,BUF,1
2,2018090901,CLE,PIT,1
3,2018090902,IND,CIN,1
4,2018090903,MIA,TEN,1
5,2018090904,MIN,SF,1
6,2018090905,NE,HOU,1
7,2018090906,NO,TB,1
8,2018090907,NYG,JAX,1
9,2018090908,LAC,KC,1
10,2018090909,ARI,WAS,1
11,2018090910,CAR,DAL,1
12,2018090911,DEN,SEA,1
13,2018090912,GB,CHI,1
14,2018091000,DET,NYJ,1
15,2018091001,OAK,LA,1
16,2018091300,CIN,BAL,2
17,2018091600,ATL,CAR,2
18,2018091601,BUF,LAC,2
19,2018091602,GB,MIN,2
20,2018091603,NO,CLE,2
21,2018091604,NYJ,MIA,2
22,2018091605,PIT,KC,2
23,2018091606,TB,PHI,2
24,2018091607,TEN,HOU,2
25,2018091608,WAS,IND,2
26,2018091609,LA,ARI,2
27,2018091610,SF,DET,2
28,2018091611,DEN,OAK,2
29,2018091612,JAX,NE,2
30,2018091613,DAL,NYG,2
31,2018091700,CHI,SEA,2
32,2018092000,CLE,NYJ,3
33,2018092300,ATL,NO,3
34,2018092301,BAL,DEN,3
35,2018092302,CAR,CIN,3
36,2018092303,HOU,NYG,3
37,2018092304,JAX,TEN,3
38,2018092305,KC,SF,3
39,2018092306,MIA,OAK,3
40,2018092307,MIN,BUF,3
41,2018092308,PHI,IND,3
42,2018092309,WAS,GB,3
43,2018092310,LA,LAC,3
44,2018092311,ARI,CHI,3
45,2018092312,SEA,DAL,3
46,2018092313,DET,NE,3
47,2018092400,TB,PIT,3
48,2018092700,LA,MIN,4
49,2018093000,ATL,CIN,4
50,2018093001,CHI,TB,4
51,2018093002,DAL,DET,4
52,2018093003,GB,BUF,4
53,2018093004,IND,HOU,4
54,2018093005,JAX,NYJ,4
55,2018093006,NE,MIA,4
56,2018093007,TEN,PHI,4
57,2018093008,ARI,SEA,4
58,2018093009,OAK,CLE,4
59,2018093010,LAC,SF,4
60,2018093011,NYG,NO,4
61,2018093012,PIT,BAL,4
62,2018100100,DEN,KC,4
63,2018100400,NE,IND,5
64,2018100700,BUF,TEN,5
65,2018100701,CAR,NYG,5
66,2018100702,CIN,MIA,5
67,2018100703,CLE,BAL,5
68,2018100704,DET,GB,5
69,2018100705,KC,JAX,5
70,2018100706,NYJ,DEN,5
71,2018100707,PIT,ATL,5
72,2018100708,LAC,OAK,5
73,2018100709,PHI,MIN,5
74,2018100710,SF,ARI,5
75,2018100711,SEA,LA,5
76,2018100712,HOU,DAL,5
77,2018100800,NO,WAS,5
78,2018101100,NYG,PHI,6
79,2018101400,ATL,TB,6
80,2018101401,CIN,PIT,6
81,2018101402,CLE,LAC,6
82,2018101403,HOU,BUF,6
83,2018101404,MIA,CHI,6
84,2018101405,MIN,ARI,6
85,2018101406,NYJ,IND,6
86,2018101407,OAK,SEA,6
87,2018101408,WAS,CAR,6
88,2018101409,DEN,LA,6
89,2018101410,DAL,JAX,6
90,2018101411,TEN,BAL,6
91,2018101412,NE,KC,6
92,2018101500,GB,SF,6
93,2018101800,ARI,DEN,7
94,2018102100,LAC,TEN,7
95,2018102101,BAL,NO,7
96,2018102102,CHI,NE,7
97,2018102103,IND,BUF,7
98,2018102104,JAX,HOU,7
99,2018102105,KC,CIN,7
100,2018102106,MIA,DET,7
101,2018102107,NYJ,MIN,7
102,2018102108,PHI,CAR,7
103,2018102109,TB,CLE,7
104,2018102110,WAS,DAL,7
105,2018102111,SF,LA,7
106,2018102200,ATL,NYG,7
107,2018102500,HOU,MIA,8
108,2018102800,JAX,PHI,8
109,2018102801,CAR,BAL,8
110,2018102802,CHI,NYJ,8
111,2018102803,CIN,TB,8
112,2018102804,DET,SEA,8
113,2018102805,KC,DEN,8
114,2018102806,NYG,WAS,8
115,2018102807,PIT,CLE,8
116,2018102808,OAK,IND,8
117,2018102809,ARI,SF,8
118,2018102810,LA,GB,8
119,2018102811,MIN,NO,8
120,2018102900,BUF,NE,8
121,2018110100,SF,OAK,9
122,2018110400,BAL,PIT,9
123,2018110401,BUF,CHI,9
124,2018110402,CAR,TB,9
125,2018110403,CLE,KC,9
126,2018110404,MIA,NYJ,9
127,2018110405,MIN,DET,9
128,2018110406,WAS,ATL,9
129,2018110407,DEN,HOU,9
130,2018110408,SEA,LAC,9
131,2018110409,NO,LA,9
132,2018110410,NE,GB,9
133,2018110500,DAL,TEN,9
134,2018110800,PIT,CAR,10
135,2018111100,CHI,DET,10
136,2018111101,CIN,NO,10
137,2018111102,CLE,ATL,10
138,2018111103,GB,MIA,10
139,2018111104,IND,JAX,10
140,2018111105,KC,ARI,10
141,2018111106,NYJ,BUF,10
142,2018111107,TB,WAS,10
143,2018111108,TEN,NE,10
144,2018111109,OAK,LAC,10
145,2018111110,LA,SEA,10
146,2018111111,PHI,DAL,10
147,2018111200,SF,NYG,10
148,2018111500,SEA,GB,11
149,2018111800,ATL,DAL,11
150,2018111801,BAL,CIN,11
151,2018111802,CHI,MIN,11
152,2018111803,DET,CAR,11
153,2018111804,IND,TEN,11
154,2018111805,NYG,TB,11
155,2018111806,WAS,HOU,11
156,2018111807,ARI,OAK,11
157,2018111808,LAC,DEN,11
158,2018111809,NO,PHI,11
159,2018111810,JAX,PIT,11
160,2018111900,LA,KC,11
161,2018112200,DET,CHI,12
162,2018112201,DAL,WAS,12
163,2018112202,NO,ATL,12
164,2018112500,BAL,OAK,12
165,2018112501,BUF,JAX,12
166,2018112502,CAR,SEA,12
167,2018112503,CIN,CLE,12
168,2018112504,IND,MIA,12
169,2018112505,NYJ,NE,12
170,2018112506,PHI,NYG,12
171,2018112507,TB,SF,12
172,2018112508,LAC,ARI,12
173,2018112509,DEN,PIT,12
174,2018112510,MIN,GB,12
175,2018112600,HOU,TEN,12
176,2018112900,DAL,NO,13
177,2018120200,ATL,BAL,13
178,2018120201,CIN,DEN,13
179,2018120202,DET,LA,13
180,2018120203,GB,ARI,13
181,2018120204,HOU,CLE,13
182,2018120205,JAX,IND,13
183,2018120206,MIA,BUF,13
184,2018120207,NYG,CHI,13
185,2018120208,PIT,LAC,13
186,2018120209,TB,CAR,13
187,2018120210,OAK,KC,13
188,2018120211,TEN,NYJ,13
189,2018120212,NE,MIN,13
190,2018120213,SEA,SF,13
191,2018120300,PHI,WAS,13
192,2018120600,TEN,JAX,14
193,2018120900,BUF,NYJ,14
194,2018120901,CHI,LA,14
195,2018120902,CLE,CAR,14
196,2018120903,GB,ATL,14
197,2018120904,HOU,IND,14
198,2018120905,KC,BAL,14
199,2018120906,MIA,NE,14
200,2018120907,TB,NO,14
201,2018120908,WAS,NYG,14
202,2018120909,LAC,CIN,14
203,2018120910,SF,DEN,14
204,2018120911,ARI,DET,14
205,2018120912,DAL,PHI,14
206,2018120913,OAK,PIT,14
207,2018121000,SEA,MIN,14
208,2018121300,KC,LAC,15
209,2018121500,NYJ,HOU,15
210,2018121501,DEN,CLE,15
211,2018121600,ATL,ARI,15
212,2018121601,BAL,TB,15
213,2018121602,BUF,DET,15
214,2018121603,CHI,GB,15
215,2018121604,CIN,OAK,15
216,2018121605,IND,DAL,15
217,2018121606,JAX,WAS,15
218,2018121607,MIN,MIA,15
219,2018121608,NYG,TEN,15
220,2018121609,SF,SEA,15
221,2018121610,PIT,NE,15
222,2018121611,LA,PHI,15
223,2018121700,CAR,NO,15
224,2018122200,TEN,WAS,16
225,2018122201,LAC,BAL,16
226,2018122300,IND,NYG,16
227,2018122302,MIA,JAX,16
228,2018122304,CAR,ATL,16
229,2018122305,CLE,CIN,16
230,2018122306,DAL,TB,16
231,2018122307,DET,MIN,16
232,2018122308,NE,BUF,16
233,2018122309,NYJ,GB,16
234,2018122310,PHI,HOU,16
235,2018122311,ARI,LA,16
236,2018122312,SF,CHI,16
237,2018122313,NO,PIT,16
238,2018122314,SEA,KC,16
239,2018122400,OAK,DEN,16
240,2018123000,BAL,CLE,17
241,2018123001,BUF,MIA,17
242,2018123002,GB,DET,17
243,2018123003,HOU,JAX,17
244,2018123004,KC,OAK,17
245,2018123005,MIN,CHI,17
246,2018123006,NE,NYJ,17
247,2018123007,NO,CAR,17
248,2018123008,NYG,DAL,17
249,2018123009,PIT,CIN,17
250,2018123010,TB,ATL,17
251,2018123011,TEN,IND,17
252,2018123012,WAS,PHI,17
253,2018123013,DEN,LAC,17
254,2018123014,LA,SF,17
255,2018123015,SEA,ARI,17
